index,totalseconds,totalvalue,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,age,Umean,Hmean
1,30,36,7,7,7,6,2,2,2,3,1,08376,40,6.75,2.25
2,17,36,3,6,5,5,4,3,5,5,1,20221046,21,4.75,4.25
3,29,34,6,3,4,5,3,2,5,6,2,20220948,21,4.5,4
4,30,38,7,5,5,5,4,6,3,3,1,20221031,22,5.5,4
5,32,40,5,6,4,5,3,4,6,7,1,20221083,23,5,5
6,30,38,6,4,6,6,3,4,4,5,1,20221077,20,5.5,4
7,26,33,7,7,7,5,2,1,2,2,1,20221220,21,6.5,1.75
8,31,36,5,5,5,5,4,4,3,5,1,20220983,21,5,4
9,25,53,7,7,7,7,4,4,4,4,1,20221237,22,7,4
10,26,36,6,5,5,5,3,2,5,5,1,20220958,23,5.25,3.75
11,29,46,7,5,7,7,5,4,4,7,1,20220933,20,6.5,5
12,38,40,6,5,6,6,5,4,4,4,2,20221036,21,5.75,4.25
13,34,46,6,6,7,7,6,5,3,6,1,20221255,21,6.5,5
14,26,43,6,6,6,6,5,5,4,5,1,20221144,22,6,4.75
15,33,39,6,6,6,6,2,4,2,7,1,20221150,23,6,3.75
16,41,26,4,4,5,4,2,3,2,2,1,20221202,20,4.25,2.25
17,40,39,7,5,7,7,1,4,7,1,2,20221275,21,6.5,3.25
18,41,45,6,7,7,7,4,5,4,5,2,20221224,21,6.75,4.5
19,37,39,7,5,7,7,3,2,4,4,1,20221404,22,6.5,3.25
20,44,34,5,5,5,5,4,4,3,3,1,20221117,23,5,3.5
21,39,29,7,6,4,7,2,1,1,1,1,20220990,20,6,1.25
22,46,36,7,5,4,4,4,4,5,3,2,20211217,21,5,4
23,47,39,7,5,6,6,4,4,3,4,1,20229638,25,6,3.75
24,14,39,2,4,6,5,6,4,5,7,2,20221401,22,4.25,5.5
25,49,38,6,4,5,6,2,4,5,6,2,20229636,23,5.25,4.25
26,47,44,6,6,6,6,5,4,5,6,2,20229634,20,6,5
27,50,35,6,4,4,6,4,4,4,3,2,20229635,21,5,3.75
28,57,32,6,6,5,6,2,3,1,3,2,20221012,21,5.75,2.25
29,69,42,6,5,7,7,3,4,6,4,1,20221403,22,6.25,4.25
30,66,38,7,7,7,4,2,5,3,3,2,20221043,23,6.25,3.25
31,74,38,6,3,4,5,4,4,6,6,2,20229637,20,4.5,5
32,76,38,6,6,6,6,4,5,2,3,1,20229633,21,6,3.5
33,84,34,6,4,5,5,4,3,3,4,2,2401283,21,5,3.5
34,75,33,7,7,6,7,2,1,1,2,2,2201275,22,6.75,1.5
35,98,24,7,3,4,5,1,2,1,1,2,2301340,23,4.75,1.25
36,26,31,7,5,6,6,2,2,2,1,2,2201292,20,6,1.75
37,114,37,5,5,5,5,4,3,5,5,2,20219638,24,5,4.25
38,75,37,6,4,5,5,3,5,5,4,2,20219635,24,5,4.25
39,106,43,6,6,6,7,4,4,4,6,2,20219637,26,6.25,4.5
40,30,40,7,7,7,7,3,3,3,3,1,20211333,25,7,3
41,56,35,7,5,5,6,3,5,2,2,1,20211387,25,5.75,3
42,25,33,5,4,6,6,2,2,2,6,2,2301351,27,5.25,3
